sal,Rx,prey,Eaten_day,outcome
39,2x Complex,9,2,1
39,2x Complex,10,2,1
40,2x Complex,1,1,1
40,2x Complex,2,2,1
40,2x Complex,3,2,1
40,2x Complex,4,2,1
40,2x Complex,5,2,1
40,2x Complex,6,2,1
40,2x Complex,7,2,1
40,2x Complex,8,2,1
40,2x Complex,9,2,1
40,2x Complex,10,2,1
44,2x Complex,1,2,1
44,2x Complex,2,2,1
44,2x Complex,3,2,1
44,2x Complex,4,2,1
44,2x Complex,5,2,1
44,2x Complex,6,2,1
44,2x Complex,7,2,1
44,2x Complex,8,2,1
44,2x Complex,9,2,1
44,2x Complex,10,5,1
46,2x Complex,1,2,1
46,2x Complex,2,2,1
46,2x Complex,3,2,1
46,2x Complex,4,2,1
46,2x Complex,5,2,1
46,2x Complex,6,2,1
46,2x Complex,7,4,1
46,2x Complex,8,4,1
46,2x Complex,9,5,1
46,2x Complex,10,7,1
48,2x Complex,1,2,1
48,2x Complex,2,2,1
48,2x Complex,3,2,1
48,2x Complex,4,2,1
48,2x Complex,5,2,1
48,2x Complex,6,2,1
48,2x Complex,7,2,1
48,2x Complex,8,2,1
48,2x Complex,9,2,1
48,2x Complex,10,3,1
1,Simple,1,1,1
1,Simple,2,2,1
1,Simple,3,2,1
1,Simple,4,2,1
1,Simple,5,2,1
1,Simple,6,2,1
1,Simple,7,2,1
1,Simple,8,2,1
1,Simple,9,2,1
1,Simple,10,2,1
2,Simple,1,2,1
2,Simple,2,2,1
2,Simple,3,2,1
2,Simple,4,2,1
2,Simple,5,2,1
2,Simple,6,2,1
2,Simple,7,2,1
2,Simple,8,3,1
2,Simple,9,3,1
2,Simple,10,5,1
3,Simple,1,2,1
3,Simple,2,2,1
3,Simple,3,2,1
3,Simple,4,2,1
3,Simple,5,2,1
3,Simple,6,2,1
3,Simple,7,2,1
3,Simple,8,2,1
3,Simple,9,2,1
3,Simple,10,2,1
5,Simple,1,1,1
5,Simple,2,1,1
5,Simple,3,2,1
5,Simple,4,2,1
5,Simple,5,2,1
5,Simple,6,2,1
5,Simple,7,2,1
5,Simple,8,2,1
5,Simple,9,2,1
5,Simple,10,2,1
8,Simple,1,2,1
8,Simple,2,2,1
8,Simple,3,2,1
8,Simple,4,2,1
8,Simple,5,2,1
8,Simple,6,2,1
8,Simple,7,2,1
8,Simple,8,2,1
8,Simple,9,2,1
8,Simple,10,5,1
11,Simple,1,1,1
11,Simple,2,1,1
11,Simple,3,2,1
11,Simple,4,2,1
11,Simple,5,2,1
11,Simple,6,2,1
11,Simple,7,2,1
11,Simple,8,2,1
11,Simple,9,2,1
11,Simple,10,2,1
12,Simple,1,2,1
12,Simple,2,2,1
12,Simple,3,2,1
12,Simple,4,2,1
12,Simple,5,2,1
12,Simple,6,2,1
12,Simple,7,2,1
12,Simple,8,2,1
12,Simple,9,2,1
12,Simple,10,2,1
13,Simple,1,1,1
13,Simple,2,2,1
13,Simple,3,2,1
13,Simple,4,2,1
13,Simple,5,2,1
13,Simple,6,2,1
13,Simple,7,2,1
13,Simple,8,2,1
13,Simple,9,2,1
13,Simple,10,3,1
14,Simple,1,2,1
14,Simple,2,2,1
14,Simple,3,2,1
14,Simple,4,2,1
14,Simple,5,2,1
14,Simple,6,2,1
14,Simple,7,2,1
14,Simple,8,2,1
14,Simple,9,3,1
14,Simple,10,7,1
15,Simple,1,2,1
15,Simple,2,2,1
15,Simple,3,2,1
15,Simple,4,2,1
15,Simple,5,2,1
15,Simple,6,2,1
15,Simple,7,2,1
15,Simple,8,2,1
15,Simple,9,2,1
15,Simple,10,2,1
16,Simple,1,2,1
16,Simple,2,2,1
16,Simple,3,2,1
16,Simple,4,2,1
16,Simple,5,2,1
16,Simple,6,2,1
16,Simple,7,2,1
16,Simple,8,2,1
16,Simple,9,2,1
16,Simple,10,2,1
17,Simple,1,2,1
17,Simple,2,2,1
17,Simple,3,2,1
17,Simple,4,2,1
17,Simple,5,2,1
17,Simple,6,2,1
17,Simple,7,2,1
17,Simple,8,2,1
17,Simple,9,2,1
17,Simple,10,2,1
20,Simple,1,2,1
20,Simple,2,2,1
20,Simple,3,2,1
20,Simple,4,2,1
20,Simple,5,2,1
20,Simple,6,2,1
20,Simple,7,2,1
20,Simple,8,2,1
20,Simple,9,2,1
20,Simple,10,3,1
23,Simple,1,2,1
23,Simple,2,2,1
23,Simple,3,2,1
23,Simple,4,2,1
23,Simple,5,2,1
23,Simple,6,2,1
23,Simple,7,2,1
23,Simple,8,2,1
23,Simple,9,2,1
23,Simple,10,2,1
27,Simple,1,2,1
27,Simple,2,2,1
27,Simple,3,2,1
27,Simple,4,2,1
27,Simple,5,2,1
27,Simple,6,2,1
27,Simple,7,2,1
27,Simple,8,2,1
27,Simple,9,2,1
27,Simple,10,3,1
29,Simple,1,2,1
29,Simple,2,2,1
29,Simple,3,2,1
29,Simple,4,2,1
29,Simple,5,2,1
29,Simple,6,2,1
29,Simple,7,2,1
29,Simple,8,2,1
29,Simple,9,3,1
29,Simple,10,3,1
34,Simple,1,1,1
34,Simple,2,2,1
34,Simple,3,2,1
34,Simple,4,2,1
34,Simple,5,2,1
34,Simple,6,2,1
34,Simple,7,2,1
34,Simple,8,2,1
34,Simple,9,2,1
34,Simple,10,2,1
35,Simple,1,2,1
35,Simple,2,2,1
35,Simple,3,2,1
35,Simple,4,2,1
35,Simple,5,2,1
35,Simple,6,2,1
35,Simple,7,2,1
35,Simple,8,2,1
35,Simple,9,2,1
35,Simple,10,2,1
37,Simple,1,2,1
37,Simple,2,2,1
37,Simple,3,2,1
37,Simple,4,2,1
37,Simple,5,2,1
37,Simple,6,2,1
37,Simple,7,2,1
37,Simple,8,2,1
37,Simple,9,2,1
37,Simple,10,5,1
41,Simple,1,1,1
41,Simple,2,1,1
41,Simple,3,2,1
41,Simple,4,2,1
41,Simple,5,2,1
41,Simple,6,2,1
41,Simple,7,2,1
41,Simple,8,2,1
41,Simple,9,2,1
41,Simple,10,3,1
42,Simple,1,2,1
42,Simple,2,2,1
42,Simple,3,2,1
42,Simple,4,2,1
42,Simple,5,2,1
42,Simple,6,2,1
42,Simple,7,2,1
42,Simple,8,3,1
42,Simple,9,4,1
42,Simple,10,4,1
43,Simple,1,1,1
43,Simple,2,1,1
43,Simple,3,2,1
43,Simple,4,2,1
43,Simple,5,2,1
43,Simple,6,2,1
43,Simple,7,2,1
43,Simple,8,2,1
43,Simple,9,2,1
43,Simple,10,2,1
45,Simple,1,2,1
45,Simple,2,2,1
45,Simple,3,2,1
45,Simple,4,2,1
45,Simple,5,2,1
45,Simple,6,2,1
45,Simple,7,2,1
45,Simple,8,2,1
45,Simple,9,2,1
45,Simple,10,2,1
47,Simple,1,2,1
47,Simple,2,2,1
47,Simple,3,2,1
47,Simple,4,2,1
47,Simple,5,2,1
47,Simple,6,2,1
47,Simple,7,2,1
47,Simple,8,2,1
47,Simple,9,2,1
47,Simple,10,2,1
