preyID,Eaten_day,outcome,Rx,sal
8,9,0,Complex (10-18 stems),10
9,9,0,Complex (10-18 stems),10
10,9,0,Complex (10-18 stems),10
1,1,1,Complex (10-18 stems),17
2,1,1,Complex (10-18 stems),17
3,1,1,Complex (10-18 stems),17
4,2,1,Complex (10-18 stems),17
5,3,1,Complex (10-18 stems),17
6,3,1,Complex (10-18 stems),17
7,9,0,Complex (10-18 stems),17
8,9,0,Complex (10-18 stems),17
9,9,0,Complex (10-18 stems),17
10,9,0,Complex (10-18 stems),17
1,1,1,Complex (10-18 stems),19
2,3,1,Complex (10-18 stems),19
3,5,1,Complex (10-18 stems),19
4,6,1,Complex (10-18 stems),19
5,9,0,Complex (10-18 stems),19
6,9,0,Complex (10-18 stems),19
7,9,0,Complex (10-18 stems),19
8,9,0,Complex (10-18 stems),19
9,9,0,Complex (10-18 stems),19
10,9,0,Complex (10-18 stems),19
1,1,1,Complex (10-18 stems),20
2,1,1,Complex (10-18 stems),20
3,2,1,Complex (10-18 stems),20
4,8,1,Complex (10-18 stems),20
5,8,1,Complex (10-18 stems),20
6,9,0,Complex (10-18 stems),20
7,9,0,Complex (10-18 stems),20
8,9,0,Complex (10-18 stems),20
9,9,0,Complex (10-18 stems),20
10,9,0,Complex (10-18 stems),20
1,1,1,Complex (10-18 stems),23
2,1,1,Complex (10-18 stems),23
3,1,1,Complex (10-18 stems),23
4,1,1,Complex (10-18 stems),23
5,1,1,Complex (10-18 stems),23
6,9,0,Complex (10-18 stems),23
7,9,0,Complex (10-18 stems),23
8,9,0,Complex (10-18 stems),23
9,9,0,Complex (10-18 stems),23
10,9,0,Complex (10-18 stems),23
1,1,1,Complex (10-18 stems),31
2,1,1,Complex (10-18 stems),31
3,1,1,Complex (10-18 stems),31
4,8,1,Complex (10-18 stems),31
5,8,1,Complex (10-18 stems),31
6,9,0,Complex (10-18 stems),31
7,9,0,Complex (10-18 stems),31
8,9,0,Complex (10-18 stems),31
9,9,0,Complex (10-18 stems),31
10,9,0,Complex (10-18 stems),31
1,1,1,Complex (10-18 stems),32
2,1,1,Complex (10-18 stems),32
3,2,1,Complex (10-18 stems),32
4,2,1,Complex (10-18 stems),32
5,2,1,Complex (10-18 stems),32
6,5,1,Complex (10-18 stems),32
7,7,1,Complex (10-18 stems),32
8,9,0,Complex (10-18 stems),32
9,9,0,Complex (10-18 stems),32
10,9,0,Complex (10-18 stems),32
1,1,1,Complex (10-18 stems),36
2,1,1,Complex (10-18 stems),36
3,3,1,Complex (10-18 stems),36
4,3,1,Complex (10-18 stems),36
