preyID,Eaten_day,outcome,Rx,sal
10,2,1,3x,6.2
1,1,1,3x,22.2
2,1,1,3x,22.2
3,1,1,3x,22.2
4,1,1,3x,22.2
5,1,1,3x,22.2
6,1,1,3x,22.2
7,1,1,3x,22.2
8,1,1,3x,22.2
9,1,1,3x,22.2
10,2,1,3x,22.2
1,1,1,3x,23.2
2,1,1,3x,23.2
3,1,1,3x,23.2
4,1,1,3x,23.2
5,1,1,3x,23.2
6,1,1,3x,23.2
7,1,1,3x,23.2
8,1,1,3x,23.2
9,1,1,3x,23.2
10,1,1,3x,23.2
1,1,1,3x,27
2,1,1,3x,27
3,1,1,3x,27
4,1,1,3x,27
5,1,1,3x,27
6,1,1,3x,27
7,1,1,3x,27
8,2,1,3x,27
9,2,1,3x,27
10,2,1,3x,27
