sal,Rx,prey,Eaten_day,outcome
4,Complex,1,2,1
4,Complex,2,2,1
4,Complex,3,2,1
4,Complex,4,2,1
4,Complex,5,2,1
4,Complex,6,2,1
4,Complex,7,2,1
4,Complex,8,2,1
4,Complex,9,2,1
4,Complex,10,2,1
6,Complex,1,1,1
6,Complex,2,2,1
6,Complex,3,2,1
6,Complex,4,2,1
6,Complex,5,2,1
6,Complex,6,2,1
6,Complex,7,2,1
6,Complex,8,2,1
6,Complex,9,2,1
6,Complex,10,2,1
7,Complex,1,2,1
7,Complex,2,2,1
7,Complex,3,2,1
7,Complex,4,2,1
7,Complex,5,2,1
7,Complex,6,2,1
7,Complex,7,2,1
7,Complex,8,2,1
7,Complex,9,2,1
7,Complex,10,2,1
9,Complex,1,2,1
9,Complex,2,2,1
9,Complex,3,2,1
9,Complex,4,2,1
9,Complex,5,2,1
9,Complex,6,2,1
9,Complex,7,2,1
9,Complex,8,2,1
9,Complex,9,2,1
9,Complex,10,4,1
10,Complex,1,1,1
10,Complex,2,2,1
10,Complex,3,2,1
10,Complex,4,2,1
10,Complex,5,2,1
10,Complex,6,2,1
10,Complex,7,2,1
10,Complex,8,2,1
10,Complex,9,4,1
10,Complex,10,8,1
18,Complex,1,2,1
18,Complex,2,2,1
18,Complex,3,2,1
18,Complex,4,2,1
18,Complex,5,2,1
18,Complex,6,2,1
18,Complex,7,2,1
18,Complex,8,2,1
18,Complex,9,2,1
18,Complex,10,6,1
19,Complex,1,2,1
19,Complex,2,2,1
19,Complex,3,2,1
19,Complex,4,2,1
19,Complex,5,2,1
19,Complex,6,2,1
19,Complex,7,2,1
19,Complex,8,2,1
19,Complex,9,2,1
19,Complex,10,2,1
21,Complex,1,3,1
21,Complex,2,3,1
21,Complex,3,3,1
21,Complex,4,3,1
21,Complex,5,3,1
21,Complex,6,4,1
21,Complex,7,4,1
21,Complex,8,5,1
21,Complex,9,5,1
21,Complex,10,5,1
22,Complex,1,2,1
22,Complex,2,2,1
22,Complex,3,2,1
22,Complex,4,2,1
22,Complex,5,2,1
22,Complex,6,2,1
22,Complex,7,2,1
22,Complex,8,2,1
22,Complex,9,2,1
22,Complex,10,2,1
24,Complex,1,1,1
24,Complex,2,2,1
24,Complex,3,2,1
24,Complex,4,2,1
24,Complex,5,2,1
24,Complex,6,2,1
24,Complex,7,2,1
24,Complex,8,2,1
24,Complex,9,3,1
24,Complex,10,4,1
25,Complex,1,1,1
25,Complex,2,2,1
25,Complex,3,2,1
25,Complex,4,2,1
25,Complex,5,2,1
25,Complex,6,2,1
25,Complex,7,2,1
25,Complex,8,2,1
25,Complex,9,2,1
25,Complex,10,2,1
26,Complex,1,2,1
26,Complex,2,2,1
26,Complex,3,2,1
26,Complex,4,2,1
26,Complex,5,2,1
26,Complex,6,2,1
26,Complex,7,2,1
26,Complex,8,2,1
26,Complex,9,2,1
26,Complex,10,4,1
28,Complex,1,2,1
28,Complex,2,2,1
28,Complex,3,2,1
28,Complex,4,2,1
28,Complex,5,2,1
28,Complex,6,2,1
28,Complex,7,2,1
28,Complex,8,2,1
28,Complex,9,2,1
28,Complex,10,3,1
30,Complex,1,2,1
30,Complex,2,2,1
30,Complex,3,2,1
30,Complex,4,2,1
30,Complex,5,2,1
30,Complex,6,2,1
30,Complex,7,2,1
30,Complex,8,2,1
30,Complex,9,2,1
30,Complex,10,2,1
31,Complex,1,2,1
31,Complex,2,2,1
31,Complex,3,2,1
31,Complex,4,2,1
31,Complex,5,2,1
31,Complex,6,2,1
31,Complex,7,2,1
31,Complex,8,2,1
31,Complex,9,3,1
31,Complex,10,3,1
32,Complex,1,2,1
32,Complex,2,2,1
32,Complex,3,2,1
32,Complex,4,2,1
32,Complex,5,2,1
32,Complex,6,2,1
32,Complex,7,2,1
32,Complex,8,2,1
32,Complex,9,2,1
32,Complex,10,2,1
33,Complex,1,2,1
33,Complex,2,2,1
33,Complex,3,2,1
33,Complex,4,2,1
33,Complex,5,2,1
33,Complex,6,2,1
33,Complex,7,2,1
33,Complex,8,2,1
33,Complex,9,2,1
33,Complex,10,2,1
36,Complex,1,2,1
36,Complex,2,2,1
36,Complex,3,2,1
36,Complex,4,2,1
36,Complex,5,2,1
36,Complex,6,2,1
36,Complex,7,2,1
36,Complex,8,2,1
36,Complex,9,2,1
36,Complex,10,5,1
38,Complex,1,2,1
38,Complex,2,2,1
38,Complex,3,2,1
